SKU;Название товара;Поисковая фраза;Запрос пользователя;Показы;Клики;CTR (%);Расход (руб., с НДС)
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал гарант;2;0;0,00;1,00
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;ещкник ;1;0;0,00;0,35
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал высокий с крышкой;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;круглый мангал;2;0;0,00;1,05
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал разборный;мангал разборный в чехле;2;0;0,00;1,30
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал сборный разборный;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал с крышей;280;0;0,00;110,12
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;зефирки на мангале;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал корсиканец;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;купить мангал дачный;6;0;0,00;2,90
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;тумба мануале;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал banira;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;walzmatic мангал;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал складной;мангал складной хорошо;1;0;0,00;0,59
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал складной;мангал складной именной леша;1;0;0,00;0,70
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал уличный с оленями;2;0;0,00;0,90
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал складной;мангал складной колундров;1;0;0,00;0,70
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;набор посуды пластиковой для пикника;7;0;0,00;2,58
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;" для мангала  мангал";1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал профметстиль ссср, 45 х 50 х 25 см;1;0;0,00;0,45
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;набор для мангала и барбекю;1;0;0,00;0,45
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал стэн;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;шампуры магал;1;0;0,00;0,37
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;уголь для мангала;2;0;0,00;0,79
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал 2 мм;11;0;0,00;4,09
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;чехол на стол для пикника;1;0;0,00;0,37
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;нержа мангал;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;гриль мангал;мангал гриль барбекю;3;0;0,00;0,87
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мино мангал;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал рассрочка ;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;товары для пикникв;1;0;0,00;0,35
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;однаразывый магнал;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;марнгал;1;0;0,00;0,37
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;вертель для мангала;54;0;0,00;23,74
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;габор для пикника;6;0;0,00;2,22
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;казанок на мангал;2;0;0,00;0,90
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал рассрочка;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;веер для мангала;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал недорогой;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;тарелки пластик для пикника;1;0;0,00;0,25
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;серёжки на мангал ;1;0;0,00;0,65
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;сковорода для монгала;1;0;0,00;0,25
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;бигардее мангал;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;наборы для пикника шампура;1;0;0,00;0,37
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал ножки;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;звёздочки на мангал;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;для пткника;1;0;0,00;0,35
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;аксессуары для мангала;4;0;0,00;1,20
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал складной;мангал складной с футляром;2;0;0,00;1,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;приспособление для казана на мангал;1;0;0,00;0,25
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;Category0;187;8;4,28;75,29
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал складной;мангал складной с сумкой;30;1;3,33;19,00
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;ykap мангал;1;0;0,00;0,45
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;заказать мангал;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал бетоный;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал беседка;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал подставка;1;0;0,00;0,25
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал складной;"мангал складной в сумке ""витязь""";1;0;0,00;0,70
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;уголь для мангала 10кг;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;дымосос  для мангала;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;нпборы для пикника;1;0;0,00;0,37
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;купить мангал в саратове;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;корзина для пикника плетена;5;0;0,00;2,00
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;электрческий мангал;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал subaru ;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;монгал ;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;набор для пикника на 4 персон;3;0;0,00;1,20
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;гриль мангал;гриль мангал барбекю;4;0;0,00;1,35
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;металлическая беседка для мангала;1;0;0,00;0,45
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;шпажки для мангала;3;0;0,00;0,75
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;набор для пикника в сумке;5;0;0,00;1,72
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;корзина для пикника складная;4;0;0,00;1,37
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;решетка для мангала нержавеющая ;3;0;0,00;1,80
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;печь с казаном 12 л;печь на казан 12 л;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;щетка для мангала;3;0;0,00;1,22
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;решетка на мангал нержавейка;1;0;0,00;0,45
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал на ножке;1;0;0,00;0,65
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;набор для пикника с посудой красный;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;корзина для пикника голубая;1;0;0,00;0,25
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;сетка для мангала;4;0;0,00;1,95
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;корзина для пикника пластиковая;17;0;0,00;6,02
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал разборный;разборный маггал;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;машгал из шамотного кирпича;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;" мангала";2;0;0,00;0,85
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;всмпо мангал;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;сковородка для мангала;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал складной;мангал складной (2 mm);1;0;0,00;0,65
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;ноги для мангала;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал складной;складной мангал обработанный;1;0;0,00;0,70
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;набор корзина для пикника с посудой;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал м108;2;0;0,00;0,80
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал для печи;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;насадка мангал weber для угольных грилей 57 см.;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;многоразовая посуда для пикника;2;0;0,00;0,50
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;сковорода для мангала ;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;уголь для мангалов и грилей;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал складной;мангал складной ширина 40;2;1;50,00;1,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;мангалы складные;1;0;0,00;0,25
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;решетка чугунная для мангала;1;0;0,00;0,37
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;решетка под мангал;1;0;0,00;0,65
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;драва для мангала;1;0;0,00;0,65
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал с лифтом;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;большой набор бля пикника;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;корщетка для мангала;1;0;0,00;0,45
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;пепельница мангал;1;0;0,00;0,65
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;одноразовый мангал;8;0;0,00;3,82
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал складной;мангал складной дешевый;2;0;0,00;1,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангалв;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;отка для мангала;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;крутящийся мангал;2;0;0,00;0,90
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;магнгал;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал с крышей имение;1;0;0,00;0,25
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;набор  для пикника складной;1;0;0,00;0,65
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;решетка барбекю для мангала;6;0;0,00;2,52
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;укрытие для мангала;1;0;0,00;0,35
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;для  пикника;1;0;0,00;0,25
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;вертикальный мангал из нержавейки;1;0;0,00;0,37
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал с епзпглм крышей;1;0;0,00;0,65
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;прихваткидля мангала;1;0;0,00;0,65
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;закрытые мангалы;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;бигарден мангал;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;сетка на мангал;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал из проф стали;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал разборынй;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;набор посуды для пикника;84;0;0,00;35,09
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;дача для мангал;мангал для дачис крышей;1;0;0,00;0,25
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал одноразовый;10;0;0,00;3,57
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал недорого;1;0;0,00;0,45
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;походный мангал для туризма;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;уголь дл ямангала;1;0;0,00;0,25
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал с крышей для дачи ;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал японский для дома;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;стол для пикника склодрой ;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал складной;складной маншал;1;0;0,00;0,70
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;все для мангала;2;0;0,00;1,02
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;сетка для шошлик мангал;1;0;0,00;0,65
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;всё для мангала;2;0;0,00;0,90
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал с нижнем поддувом;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;раздувательдля мангала;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;маннгал;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал под казан;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;мангал пикник;5;0;0,00;2,25
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;магнал;6;0;0,00;2,75
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал разборный ;4;0;0,00;1,90
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;мангал 3 мм ;1;0;0,00;0,40
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;для мангала;ветродуй для мангала;1;0;0,00;0,65
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;продувка для мангала;1;0;0,00;0,60
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангплы;2;0;0,00;0,90
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;ковар / принадлежности для мангала / подставка для казана на мангал;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал дамел;1;0;0,00;0,65
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;аусесуары для мангала;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;купить корзину для пикникам;1;0;0,00;0,25
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;спички для пикника;5;0;0,00;1,95
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;сумка доя пикника;2;0;0,00;0,70
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;мангал самоповоротный;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для пикника;орзина для пикника;2;0;0,00;0,74
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал сапажек;1;0;0,00;0,40
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;мангал;чехол для монгала;1;0;0,00;0,45
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;мангал набор;2;0;0,00;0,50
399173045;Мангал складной (2 mm) с шампурами из прочного металла многоразовый;для мангала;скорода для мангала;1;0;0,00;0,45
399178727;Мангал (2 mm) разборный из прочного металла многоразовый;мангал;мангал омск;1;0;0,00;0,40
